Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
119146,28561103,26.28,10.09,1.51,1.58,0.80,1.93,1.51,1.58,0.80,1.93,6.328440486621414,19.595320890680163
119739,41603205,238.36,18.64,0.22,0.16,0.19,0.17,0.22,0.16,0.19,0.17,0.09815483663387684,0.31862673728646435
120027,12133428,183.69,0.67,0.30,0.27,0.26,0.29,0.30,0.27,0.26,0.29,0.24166378107292083,1.001682185300066
120045,22615214,163.84,-70.95,0.91,0.86,0.61,0.48,0.91,0.86,0.61,0.48,0.4828914635591046,1.7425331939995745
120185,63879322,170.82,26.11,0.28,0.29,0.27,0.17,0.28,0.29,0.27,0.17,0.1657411219454799,0.5939769585699505
120186,1306178,343.61,15.64,0.41,0.38,0.28,0.31,0.41,0.38,0.28,0.31,0.34980760287146007,1.1855925472642146
120205,73761892,177.80,23.48,0.32,0.46,0.25,0.29,0.32,0.46,0.25,0.29,0.3021575226902931,1.0490875149179626
120244,21476686,119.44,14.82,0.27,0.32,0.27,0.31,0.27,0.32,0.27,0.31,0.2562372579480628,1.011847983411148
120260,65493286,152.27,36.61,0.34,0.33,0.29,0.32,0.34,0.33,0.29,0.32,0.2594560215856312,0.8719845870456265
120535,24248640,330.60,1.49,0.20,0.33,0.24,0.22,0.20,0.33,0.24,0.22,0.1853880076466473,0.6405588853363786
120680,12284754,182.33,3.28,0.46,0.42,0.62,0.66,0.46,0.42,0.62,0.66,0.8524913781661926,3.0473107672907425
120708,53550535,70.80,20.42,0.30,0.23,0.25,0.24,0.30,0.23,0.25,0.24,0.1920432935341131,0.6165530637238572
120798,20915945,205.71,-2.09,0.23,0.18,0.17,0.16,0.23,0.18,0.17,0.16,0.10386092364647906,0.41550602734908776
120860,64513030,170.07,27.24,0.50,0.52,0.56,0.44,0.50,0.52,0.56,0.44,0.695498222643296,2.213094482813119
120884,64276946,123.40,5.90,0.26,0.24,0.27,0.25,0.26,0.24,0.27,0.25,0.2054970079239759,0.687258035946753
121761,41853263,4.70,73.77,1.30,1.48,0.54,0.56,1.30,1.48,0.54,0.56,0.6554627854377009,2.1381016639140973
121762,56963417,279.76,-1.94,0.36,0.29,0.31,0.29,0.36,0.29,0.31,0.29,0.29689187441550685,1.1293463177209744
121769,40349510,354.07,-1.94,0.27,0.28,0.43,0.39,0.27,0.28,0.43,0.39,0.341462172163432,1.146390426568901
122154,6905361,5.98,4.26,0.52,0.53,0.65,0.67,0.52,0.53,0.65,0.67,1.076587856183924,3.610172317575267
122160,52726834,162.82,30.26,0.54,0.49,0.58,0.57,0.54,0.49,0.58,0.57,0.8029539107936001,2.825668414287989
122316,49995489,338.29,25.90,0.31,0.31,0.27,0.29,0.31,0.31,0.27,0.29,0.24197952873397985,0.8134616612324901
122361,46565711,45.40,23.56,1.20,1.27,0.59,0.64,1.20,1.27,0.59,0.64,1.9795694570037654,6.562862411719553
122469,31925079,164.79,6.17,0.26,0.27,0.29,0.31,0.26,0.27,0.29,0.31,0.245554059137036,0.823957158438527
122604,17469985,92.99,17.04,0.37,0.41,0.55,0.47,0.37,0.41,0.55,0.47,0.6063565661258038,2.0534269913900194
122605,60656774,153.59,3.81,0.32,0.44,0.37,0.39,0.32,0.44,0.37,0.39,0.4490879951244621,1.5249331461821545
122663,58987459,78.09,-2.31,0.27,0.25,0.31,0.29,0.27,0.25,0.31,0.29,0.2403441395033131,0.8106371040879404
122772,38615684,216.12,8.20,0.36,0.38,0.34,0.34,0.36,0.38,0.34,0.34,0.38857172333076473,1.4511458218913371
122793,12516001,128.98,12.79,0.25,0.25,0.26,0.24,0.25,0.25,0.26,0.24,0.19212815380017448,0.672042596945313
122818,16944987,26.32,9.29,0.40,0.34,0.38,0.30,0.40,0.34,0.38,0.30,0.38588593619472233,1.2534805007248204
122895,69011827,91.36,0.52,0.26,0.24,0.26,0.26,0.26,0.24,0.26,0.26,0.2063162859482556,0.6811049080227306
123107,8144529,32.78,10.47,0.19,0.18,0.19,0.27,0.19,0.18,0.19,0.27,0.12909910891114765,0.5018625460528927
123145,34573112,301.73,11.83,0.28,0.33,0.29,0.29,0.28,0.33,0.29,0.29,0.24422357107970533,0.8409401595017644
123240,49730417,128.85,-17.82,0.23,0.22,0.13,0.12,0.23,0.22,0.13,0.12,0.08034277631182722,0.3189711766798222
123281,52248792,285.91,19.79,0.47,0.45,0.39,0.55,0.47,0.45,0.39,0.55,0.6411483122552851,2.2771235772046485
123334,75182550,288.63,-13.67,0.30,0.35,0.35,0.37,0.30,0.35,0.35,0.37,0.34276410618986564,1.1750281983146442
123662,27529428,38.02,73.45,2.49,2.86,1.52,1.21,2.49,2.86,1.52,1.21,3.163075907876983,11.212489114779471
123751,34239163,345.10,1.64,0.34,0.39,0.23,0.25,0.34,0.39,0.23,0.25,0.2547847296072468,0.7370997035862
123867,11659459,337.41,0.60,0.41,0.26,0.49,0.42,0.41,0.26,0.49,0.42,0.4264122881043254,1.3768062225717137
123986,63557286,139.39,37.59,0.42,0.46,0.33,0.33,0.42,0.46,0.33,0.33,0.3612815730784524,1.2186296977391171
123986,77999595,220.86,-86.02,2.62,2.42,0.20,0.20,2.62,2.42,0.20,0.20,0.10831756716394733,0.4086561324012917
124136,15174527,349.10,-15.37,0.59,0.54,0.52,0.45,0.59,0.54,0.52,0.45,0.8123424074919453,2.662646204172316
124221,76481548,203.16,13.79,0.31,0.42,0.35,0.35,0.31,0.42,0.35,0.35,0.3831705521571803,1.3507047808105974
