RUNID,EVENTID,START,EVENTMJD,ENERGY,FAR,SIGNAL
131746,47815348,"2018-11-14 22:40:17.600,323,247,4 UTC",58436.94464815189,154.9,1.55,0.462
131764,48222919,"2018-11-20 17:00:32.202,764,807,9 UTC",58442.70870605052,195.2,0.94,0.555
131767,7377802,"2018-11-20 22:38:51.013,745,170,3 UTC",58442.94364599242,180.1,0.15,0.599
131768,80926380,"2018-11-21 13:55:09.227,828,650,1 UTC",58443.57996791468,221.8,0.47,0.663
131913,38717715,"2018-12-12 02:02:43.856,602,777,1 UTC",58464.085229821794,201.5,555.71,0.001
132043,80110393,"2019-01-13 02:07:28.767,640,103,8 UTC",58496.08852740324,161.5,1.92,0.406
132077,9759013,"2019-01-24 03:43:54.792,182,808,2 UTC",58507.15549527989,170.1,148.31,0.002
132128,69441226,"2019-02-01 00:22:33.996,833,362,1 UTC",58515.01567125964,169.5,0.37,0.551
132206,36575563,"2019-02-14 16:08:39.389,780,364,3 UTC",58528.67267812246,368.2,0.29,0.757
132229,66688965,"2019-02-21 08:25:39.719,320,735,9 UTC",58535.3511541588,89.5,45.24,0.005
132237,23969090,"2019-02-23 20:24:04.100,207,943,9 UTC",58537.85004745611,173.7,1.05,0.533
132321,28454069,"2019-03-17 19:57:54.268,694,003,1 UTC",58559.831878109886,113.3,3.92,0.284
132427,70353420,"2019-04-10 10:28:19.612,115,782,2 UTC",58583.436338103194,108.5,2.7,0.297
132437,16335312,"2019-04-13 10:47:58.492,720,118,1 UTC",58586.44998255463,110.6,2.49,0.309
132437,67132865,"2019-04-13 15:57:01.512,104,770,3 UTC",58586.66460083455,122.5,1.8,0.404
132443,12627143,"2019-04-15 10:29:43.304,898,877,3 UTC",58588.437306769665,130.7,3.27,0.324
132465,3856549,"2019-04-22 05:59:42.071,572,791,9 UTC",58595.24979249506,176.5,1.07,0.536
132508,42419327,"2019-05-03 17:23:08.727,514,057,9 UTC",58606.72440656845,112.0,3.72,0.281
132518,766165,"2019-05-04 18:25:18.393,652,224,9 UTC",58607.7675740006,31.9,696.88,0.001
132577,42662743,"2019-05-15 10:48:52.825,458,989,0 UTC",58618.45061140577,506.5,0.41,0.847
132684,5635104,"2019-06-13 19:54:18.125,833,863,0 UTC",58647.82937645641,203.4,0.69,0.632
132707,54984442,"2019-06-19 13:14:18.048,381,918,4 UTC",58653.5515977822,209.3,0.91,0.565
132768,5390846,"2019-06-29 19:24:15.120,701,497,9 UTC",58663.808508341455,111.1,0.61,0.357
132792,60166398,"2019-07-04 18:48:52.254,137,215,6 UTC",58668.78393812659,160.9,0.92,0.505
132814,44222682,"2019-07-12 01:15:17.386,657,262,8 UTC",58676.05228456779,112.1,2.4,0.321
132910,57145925,"2019-07-30 20:50:41.311,032,730,0 UTC",58694.86853369251,322.0,0.65,0.692
132974,67924813,"2019-08-19 17:34:24.236,899,123,3 UTC",58714.73222496411,117.7,3.54,0.309
133091,81419,"2019-09-22 09:42:45.628,765,005,8 UTC",58748.404694777375,3126.7,65.69,0.003
133092,52499868,"2019-09-22 23:03:55.566,155,434,5 UTC",58748.961059793466,194.5,1.17,0.528
133119,22683750,"2019-10-01 20:09:18.174,021,455,5 UTC",58757.8397936808,231.4,0.82,0.608
133331,47828126,"2019-11-19 01:01:29.382,820,458,5 UTC",58806.042701190054,183.2,1.4,0.475
133348,80807014,"2019-11-22 22:45:10.495,756,414,5 UTC",58809.94803814533,138.5,2.77,0.349
133394,27261780,"2019-12-04 22:46:11.315,031,825,2 UTC",58821.94874207213,140.4,2.87,0.346
133433,29047901,"2019-12-15 11:09:57.632,291,309,6 UTC",58832.465250373745,143.0,0.29,0.493
133572,82361476,"2019-12-31 11:00:06.079,026,932,5 UTC",58848.45840369244,161.3,1.36,0.487
133609,37927131,"2020-01-09 23:41:39.938,424,222,2 UTC",58857.98726780584,396.8,0.6,0.784
133634,1410505,"2020-01-17 11:08:29.690,655,756,7 UTC",58865.464232530736,111.9,1.74,0.394
133945,24635982,"2020-04-10 23:19:55.489,386,479,6 UTC",58949.972170016044,113.5,2.34,0.323
133985,60770138,"2020-04-21 00:35:24.240,594,626,9 UTC",58960.024586117994,149.3,2.22,0.375
134013,16038252,"2020-04-25 23:26:46.349,615,565,3 UTC",58964.97692534277,145.4,0.42,0.497
134081,58268464,"2020-05-12 07:31:27.758,794,657,0 UTC",58981.31351572679,111.8,2.42,0.338
134116,58596690,"2020-05-23 02:30:07.595,120,664,6 UTC",58992.104254573154,108.4,4.39,0.265
134139,35473338,"2020-05-30 07:54:29.433,350,768,2 UTC",58999.32950733045,69.9,4.16,0.254
134187,72386329,"2020-06-14 12:41:21.419,061,412,3 UTC",59014.52872012802,127.8,1.19,0.444
134191,17593623,"2020-06-15 14:49:17.376,954,931,0 UTC",59015.617562233274,528.2,0.27,0.842
134207,33533447,"2020-06-20 03:03:32.281,902,431,9 UTC",59020.12745696646,127.8,1.92,0.36
134354,59221243,"2020-08-06 13:50:56.434,581,937,7 UTC",59067.57704206692,110.8,0.69,0.414
134482,27754576,"2020-09-11 14:19:46.231,447,366,5 UTC",59103.59706286398,114.3,0.84,0.424
134498,12605830,"2020-09-16 20:40:30.957,162,486,1 UTC",59108.861469411604,114.0,2.31,0.34
134512,71996695,"2020-09-21 19:07:12.893,393,617,1 UTC",59113.79667700687,125.6,1.37,0.427
134533,53384881,"2020-09-26 07:54:11.620,667,012,4 UTC",59118.329301165126,720.9,0.15,0.921
134535,41069485,"2020-09-26 22:35:29.229,021,045,2 UTC",59118.94131052108,130.9,1.11,0.452
134552,68615710,"2020-09-29 17:48:36.839,240,168,7 UTC",59121.74209304676,189.9,1.27,0.5
134577,31638233,"2020-10-07 22:01:49.286,503,698,7 UTC",59129.91793155675,800.5,0.24,0.909
