Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
130912,76035104,218.76,0.56,0.31,0.35,0.28,0.35,0.31,0.35,0.28,0.35,0.31750421254203126,1.029049365916029
130932,35022693,305.33,-4.11,0.64,0.61,0.29,0.22,0.64,0.61,0.29,0.22,0.48557520815197064,1.7296809740273502
131096,32665194,311.92,0.19,0.26,0.28,0.32,0.24,0.26,0.28,0.32,0.24,0.23561755202476173,0.7879155897748595
131134,60192271,68.64,-0.86,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.27,0.2194243699369721,0.7200294764309147
131145,43542963,340.53,4.33,0.40,0.44,0.54,0.59,0.40,0.44,0.54,0.59,0.7401887264918401,2.4957592521003495
131165,9342044,37.18,11.45,0.51,0.53,0.77,0.84,0.51,0.53,0.77,0.84,1.2580788454143423,4.25246265172107
#131321,73241305,74.40,-17.58,0.25,0.23,0.15,0.19,0.25,0.23,0.15,0.19,0.12045396238466033,0.38689273650245626
131360,57649537,101.07,11.22,0.85,0.67,0.58,0.58,0.85,0.67,0.58,0.58,1.3663550472131816,4.934266801148274
131475,34507973,145.33,-2.24,0.37,0.37,0.34,0.33,0.37,0.37,0.34,0.33,0.3702819275282807,1.2996423720614467
131477,57977901,141.33,26.57,0.70,0.64,0.56,0.47,0.70,0.64,0.56,0.47,0.9660199896393818,3.476506214812549
